new,day
1715,231
2210,230
2625,229
1649,228
2183,227
2837,226
3094,225
2841,224
2995,223
3447,222
2051,221
2184,220
2581,219
2659,218
2614,217
1915,216
1253,215
967,214
1035,213
1378,212
1326,211
1135,210
1053,209
1080,208
693,207
712,206
999,205
1218,204
1075,203
924,202
1137,201
526,200
646,199
1042,198
1019,197
1093,196
1213,195
1352,194
556,193
639,192
858,191
981,190
945,189
921,188
940,187
513,186
494,185
622,184
856,183
970,182
780,181
809,180
516,179
490,178
716,177
733,176
749,175
690,174
754,173
414,172
467,171
546,170
640,169
723,168
652,167
689,166
352,165
420,164
521,163
685,162
673,161
557,160
655,159
539,158
388,157
541,156
561,155
610,154
571,153
667,152
411,151
504,150
645,149
637,148
728,147
727,146
816,145
551,144
629,143
816,142
942,141
911,140
994,139
936,138
746,137
788,136
937,135
917,134
1084,133
1056,132
990,131
663,130
722,129
1021,128
1144,127
1243,126
1356,125
1310,124
986,123
998,122
1373,121
1572,120
1612,119
1460,118
1382,117
1198,116
1297,115
1797,114
2273,113
2354,112
2583,111
2215,110
1592,109
1771,108
2126,107
2209,106
2882,105
2925,104
3068,103
2007,102
1791,101
2622,100
3200,99
3270,98
3146,97
2841,96
2633,95
2741,94
4097,93
4312,92
4744,91
4119,90
4031,89
3134,88
3376,87
4364,86
4564,85
4793,84
3973,83
3693,82
3474,81
4121,80
4076,79
4368,78
4233,77
3567,76
3437,75
2946,74
3077,73
3580,72
4066,71
4299,70
4575,69
4386,68
3085,67
3386,66
4101,65
4076,64
4100,63
3789,62
3525,61
2440,60
2375,59
2660,58
2615,57
2265,56
2025,55
2018,54
1209,53
1034,52
1082,51
930,50
909,49
681,48
546,47
398,46
314,45
392,44
415,43
353,42
223,41
124,40
50,39
47,38
73,37
47,36
49,35
52,34
39,33
20,32
5,31
11,30
7,29
4,28
5,27
2,26
1,25
0,24
1,23
0,22
0,21
0,20
0,19
0,18
0,17
0,16
0,15
0,14
1,13
0,12
1,11
4,10
0,9
0,8
1,7
0,6
0,5
0,4
0,3
0,2
2,1
