newDeaths,day
4,1
13,2
15,3
14,4
14,5
13,6
11,7
10,8
9,9
8,10
11,11
9,12
11,13
6,14
7,15
8,16
2,17
6,18
5,19
5,20
7,21
8,22
11,23
11,24
5,25
13,26
5,27
7,28
8,29
1,30
8,31
12,32
4,33
12,34
6,35
7,36
6,37
10,38
11,39
8,40
11,41
7,42
9,43
3,44
11,45
15,46
8,47
9,48
10,49
8,50
8,51
10,52
10,53
14,54
13,55
6,56
16,57
16,58
19,59
12,60
14,61
14,62
18,63
12,64
20,65
20,66
22,67
12,68
21,69
21,70
35,71
23,72
26,73
33,74
24,75
31,76
26,77
40,78
22,79
43,80
33,81
42,82
39,83
38,84
57,85
68,86
60,87
58,88
47,89
54,90
47,91
57,92
53,93
69,94
61,95
76,96
52,97
72,98
71,99
97,100
85,101
111,102
111,103
98,104
108,105
120,106
138,107
157,108
122,109
112,110
144,111
163,112
183,113
169,114
187,115
176,116
169,117
198,118
195,119
201,120
235,121
230,122
253,123
222,124
269,125
268,126
278,127
254,128
274,129
260,130
301,131
330,132
328,133
398,134
392,135
390,136
411,137
388,138
423,139
478,140
479,141
494,142
498,143
506,144
558,145
555,146
601,147
592,148
642,149
648,150
683,151
682,152
706,153
744,154
751,155
783,156
770,157
803,158
857,159
861,160
849,161
874,162
975,163
910,164
805,165
830,166
837,167
744,168
732,169
697,170
603,171
537,172
466,173
385,174
374,175
335,176
278,177
219,178
173,179
155,180
117,181
102,182
67,183
67,184
50,185
42,186
32,187
20,188
16,189
12,190
8,191
3,192
5,193
3,194
0,195
0,196
3,197
0,198
2,199
1,200
